Rank,Company,3-year Growth,2009 Revenue,Industry,City,State,INC Profile,Company URL,Description,2006 Revenue,Employees,Founded,Industry Rank
4474,Harmonia,19,$2.3 million,Software,Blacksburg,VA,http://www.inc.com/inc5000/profile/harmonia,http://www.harmonia.com,"Harmonia develops software and provides SOA implementation, program and project management, and requirements and systems engineering for Raytheon, the military, and the Department of Energy.",$1.9 million,20,1999,#258
4475,Siteworx,19,$8.6 million,Business Products & Services,Reston,VA,http://www.inc.com/inc5000/profile/siteworx,http://www.siteworx.com,"Siteworx provides Web and mobile interactive design and technology to clients in the government, commercial, and nonprofit sectors.",$7.3 million,68,2002,#493
4476,Stop Aging Now,19,$3.5 million,Health,Bethesda,MD,http://www.inc.com/inc5000/profile/stop-aging-now,http://www.stopagingnow.com,Stop Aging Now distributes anti-aging vitamins and supplements,$3 million,12,1995,#373
4477,Radio Flyer,19,$79.1 million,Consumer Products & Services,Chicago,IL,http://www.inc.com/inc5000/profile/radio-flyer,http://www.radioflyer.com,"Radio Flyer sells the iconic children's red wagon and recently expanded its product line to include scooters, tricycles, and wagons with added features, such as seat belts, cup holders, seat backs, canopies, and padded seats. Robert Pasin, a grandson of founder Antonio Pasin, now runs the company along with his brother Paul. He attributes the company's growth to the decision to outsource manufacturing in order to concentrate on building the brand and overhauling the company culture; Radio Flyer has 30 product developers now, up from two a couple years ago. In a stroke of retroactive branding genius, the company began making tricycles 10 years ago after enough people with fuzzy memories lovingly, but mistakenly, recalled the red x$$xRadio Flyerx$$x tricycles of their childhoods.",$66.5 million,0,1917,#211
4478,Splice Communications,19,$11.4 million,Telecommunications,San Mateo,CA,http://www.inc.com/inc5000/profile/splice-communications,http://www.splicetelecom.com,"Splice Communications implements data, telephony, and VoIP telecommunications systems for small to midsize clients.",$9.6 million,17,2002,#164
4479,Inno Pak,19,$41 million,Business Products & Services,Delaware,OH,http://www.inc.com/inc5000/profile/inno-pak,http://www.innopak.com,"Inno Pak manufactures packaging products for top supermarket chains, as well as clients in the food services, food processing, retail, and industrial fields.",$34.5 million,21,1992,#494
4480,A-1 Textiles,19,$15.7 million,Business Products & Services,Pacoima,CA,http://www.inc.com/inc5000/profile/a-1-textiles,http://www.a1textiles.com,"A-1 Textiles is a major distributor of the Golden Mills / Golden Touch line of products which include towels, sheets, pillows, blankets, mattress toppers, pads, bedspreads, draperies and amenity products",$13.2 million,30,1979,#495
4481,Global Medical Imaging,19,$18 million,Health,Charlotte,NC,http://www.inc.com/inc5000/profile/global-medical-imaging,http://gmi3.com,Global Medical Imaging sells and supports new and used ultrasound systems and accessories to private medical practices.,$15.1 million,61,2002,#374
4482,Contingent Network Services,19,$12.1 million,IT Services,West Chester,OH,http://www.inc.com/inc5000/profile/contingent-network-services,http://www.contingent.com,"Contingent Network Services designs, deploys, and supports network infrastructure for companies such as Bebe and Barnes & Noble.",$10.2 million,72,1984,#558
4483,McGraw Wentworth,19,$12 million,Insurance,Troy,MI,http://www.inc.com/inc5000/profile/mcgraw-wentworth,http://www.mcgrawwentworth.com,"McGraw Wentworth is an employee group benefit consulting firm. The company specializes in serving companies with 100-10,000 employees.",$10.1 million,66,1997,#62
4484,Sentry Communications & Security,19,$4.1 million,Security,HICKSVILLE,NY,http://www.inc.com/inc5000/profile/sentry-communications-security,http://www.sentryprotectsyou.com,"Sentry Communications & Security installs and services security systems, including digital CCTV, fire systems, and access control, for commercial, industrial, and residential clients.",$3.4 million,37,2003,#77
4485,Red F Marketing,19,$9.6 million,Advertising & Marketing,Charlotte,NC,http://www.inc.com/inc5000/profile/red-f-marketing,http://www.redf.com,"Red F Marketing consults companies about marketing challenges such as benchmarking, research, and ROI analysis. Among other areas, Red F claims to be on the forefront of marketing to the Hispanic community with an emphasis on recognizing diversity while maintaining cultural identity.",$8.1 million,35,1999,#383
4486,First Interstate BancSystem,19,$343.8 million,Financial Services,Billings,MT,http://www.inc.com/inc5000/profile/first-interstate-bancsystem,http://www.firstinterstatebank.com,"First Interstate BancSystem is a financial and bank holding company that operates 72 banking offices in 42 communities located in Montana, Wyoming, and western South Dakota. It delivers a comprehensive range of banking products and services to individuals, businesses, municipalities, and other entities throughout our market areas. The company filed for an IPO in March 2010.",$289.6 million,1735,1968,#207
4487,Cleary Gottlieb Steen & Hamilton,19,$965 million,Business Products & Services,New York,NY,http://www.inc.com/inc5000/profile/cleary-gottlieb-steen-hamilton,http://www.cgsh.com,"With 12 offices located in major financial centers around the world, Cleary Gottlieb Steen & Hamilton's clients include multinational corporations, international financial institutions, sovereign governments and their agencies, and domestic corporations and financial institutions in the countries where its offices are located. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2007 and 2010.",$813 million,992,1946,#496
4488,Validity Screening Solutions,19,$3.8 million,Business Products & Services,Overland Park,KS,http://www.inc.com/inc5000/profile/validity-screening-solutions,http://www.validityscreening.com,"Validity Screening Solutions provides background checks, prospective employee screening, and drug testing services for clients nationwide.",$3.2 million,23,2004,#497
4489,Embrace Home Loans,19,$87.9 million,Financial Services,Newport,RI,http://www.inc.com/inc5000/profile/embrace-home-loans,http://www.embracehomeloans.com,Embrace Home Loans is a full-service mortgage lender that originates business in 46 states.,$74.1 million,550,1983,#208
4490,Lyons Consulting Group,18,$3.4 million,IT Services,Chicago,IL,http://www.inc.com/inc5000/profile/lyons-consulting-group,http://www.lyonscg.com,"Lyons consults clients about business intelligence, enterprise resource planning (ERP), Internet technology, and infrastructure development.",$2.9 million,46,2003,#559
4491,Nixon Peabody,18,$465 million,Business Products & Services,National,MA,http://www.inc.com/inc5000/profile/nixon-peabody,http://www.nixonpeabody.com,"Nixon Peabody is one of the largest law firms in the world with approximately 700 attorneys in 17 cities, including London, Los Angeles, New York, Paris, Shanghai, and Washington, DC. Its clients include emerging and middle-market businesses, national and multinational corporations, financial institutions, public entities, educational, not-for-profit institutions, and individuals. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2007 and 2010.",$392.5 million,717,1854,#498
4492,Culpepper & Associates Security Services,18,$7.6 million,Security,Atlanta,GA,http://www.inc.com/inc5000/profile/culpepper-associates-security-services,http://www.cassecurity.com,"Culpepper & Associates Security Services provides bodyguards, loss prevention, and investigative services for commercial and government customers, and also plans and designs security systems for organizations and events.",$6.4 million,250,1992,#78
4493,Monitoring Solutions,18,$4.8 million,Manufacturing,Hampton,NJ,http://www.inc.com/inc5000/profile/monitoring-solutions,http://monsol.com,"Monitoring Solutions designs, manufactures, supplies, and services equipment used to monitor air emissions at power plants and other industrial or commercial facilities.",$4 million,22,1996,#180
4494,PSP & Digital,18,$7.5 million,Business Products & Services,Decatur,GA,http://www.inc.com/inc5000/profile/psp-digital,http://www.promoscreen.com,"PSP & Digital produces point of purchase graphics via screen print, digital print and lithoprint for national and regional retailers. After printing the signage and graphics it packages and distributes the products directly to retailer locations across the country.",$6.3 million,55,2002,#499
4495,HealthCareSeeker.com,18,$3.7 million,Health,Boonton,NJ,http://www.inc.com/inc5000/profile/healthcareseekercom,http://healthcareseeker.com/,HealthCareSeeker.com places registered nurses and other health care professionals in long-term temporary assignments at hospitals nationwide.,$3.1 million,40,2002,#375
4496,Flying Food Group,18,$291.6 million,Food & Beverage,Chicago,IL,http://www.inc.com/inc5000/profile/flying-food-group,http://www.flyingfood.com,The Flying Food Group offers catering services for international airlines and specialty retailers. Its customers include over 60 airlines and food retailers.,$246.3 million,3200,1983,#136
4497,ProtoType Industries,18,$7.1 million,Media,Santa Monica,CA,http://www.inc.com/inc5000/profile/prototype-industries,http://www.prototypeindustries.com,ProtoType Industries publishes catalogs and technical manuals for commercial airlines and system/equipment manufacturers.,$6 million,17,1998,#54
4498,TMI Electric,18,$4 million,Construction,Cincinnati,OH,http://www.inc.com/inc5000/profile/tmi-electric,http://www.tmielectric.com,"TMI is a commercial, industrial, design-build, and residential electrical contractor.",$3.4 million,0,1983,#183
4499,Gruskin Group,18,$8.3 million,Construction,Springfield,NJ,http://www.inc.com/inc5000/profile/gruskin-group,http://gruskingroup.com,Gruskin Group is an architecture and design company specializing in the retail sector.,$7 million,56,1982,#184
4500,Emplicity,18,$82.3 million,Human Resources,Irvine,CA,http://www.inc.com/inc5000/profile/emplicity,http://www.emplicity.com,"Emplicity provides employee management services, such as benefits management and payroll, for small and midsize companies.",$69.6 million,33,1995,#110
